iter	Passed	Remaining
216	1624	2118
217	1631	2110
218	1638	2102
219	1645	2094
220	1652	2086
221	1659	2078
222	1665	2069
223	1672	2061
224	1679	2052
225	1686	2045
226	1694	2037
227	1701	2029
228	1708	2021
229	1715	2013
230	1722	2005
231	1729	1997
232	1736	1989
233	1743	1981
234	1750	1974
235	1757	1965
236	1764	1958
237	1771	1950
238	1778	1942
239	1785	1934
240	1792	1926
241	1799	1918
242	1806	1910
243	1813	1902
244	1820	1895
245	1828	1887
246	1835	1879
247	1842	1871
248	1849	1864
249	1856	1856
250	1863	1848
251	1870	1840
252	1877	1832
253	1883	1824
254	1890	1816
255	1897	1808
256	1904	1800
257	1911	1792
258	1918	1785
259	1925	1777
260	1932	1769
261	1939	1761
262	1946	1753
263	1953	1745
264	1960	1738
265	1968	1731
266	1975	1723
267	1982	1716
268	1989	1708
269	1996	1700
270	2003	1692
271	2010	1685
272	2017	1677
273	2024	1669
274	2031	1662
275	2038	1654
276	2045	1646
277	2052	1638
278	2058	1630
279	2065	1622
280	2072	1615
281	2080	1608
282	2087	1600
283	2094	1593
284	2101	1585
285	2109	1578
286	2116	1570
287	2122	1562
288	2129	1554
289	2136	1547
290	2143	1539
291	2150	1532
292	2158	1524
293	2165	1517
294	2172	1509
295	2179	1501
296	2186	1494
297	2193	1486
298	2200	1479
299	2207	1471
300	2214	1463
301	2221	1456
302	2228	1448
303	2235	1441
304	2242	1433
305	2249	1425
306	2256	1418
307	2263	1411
308	2270	1403
309	2277	1396
310	2285	1388
311	2291	1381
312	2298	1373
313	2306	1366
314	2312	1358
315	2319	1350
316	2326	1342
317	2333	1335
318	2340	1327
319	2347	1320
320	2354	1312
321	2361	1305
322	2368	1297
323	2375	1290
324	2382	1282
325	2389	1275
326	2396	1267
327	2403	1260
328	2411	1253
329	2418	1245
330	2425	1238
331	2432	1231
332	2439	1223
333	2446	1215
334	2452	1208
335	2459	1200
336	2467	1193
337	2474	1186
338	2483	1179
339	2491	1172
340	2499	1165
341	2507	1158
342	2515	1151
343	2523	1144
344	2532	1137
345	2540	1130
346	2549	1124
347	2558	1117
348	2566	1110
349	2575	1103
350	2583	1096
351	2592	1090
352	2601	1083
353	2609	1076
354	2618	1069
355	2627	1062
356	2635	1055
357	2643	1048
358	2652	1041
359	2660	1034
360	2669	1027
361	2677	1020
362	2686	1013
363	2694	1006
364	2702	999
365	2710	992
366	2718	985
367	2726	977
368	2733	970
369	2741	963
370	2748	955
371	2755	948
372	2763	940
373	2770	933
374	2777	925
375	2785	918
376	2792	911
377	2799	903
378	2806	896
379	2814	888
380	2821	881
381	2828	873
382	2835	866
383	2842	858
384	2849	851
385	2856	843
386	2863	836
387	2871	828
388	2878	821
389	2885	813
390	2892	806
391	2899	798
392	2906	791
393	2913	783
394	2920	776
395	2927	768
396	2934	761
397	2940	753
398	2947	746
399	2954	738
400	2961	731
401	2968	723
402	2974	715
403	2981	708
404	2988	701
405	2995	693
406	3001	685
407	3009	678
408	3016	671
409	3023	663
410	3030	656
411	3037	648
412	3044	641
413	3051	633
414	3058	626
415	3065	619
416	3072	611
417	3079	604
418	3086	596
419	3093	589
420	3100	581
421	3107	574
422	3114	566
423	3120	559
424	3127	551
425	3134	544
426	3142	537
427	3149	529
428	3156	522
429	3163	514
430	3171	507
431	3177	500
432	3185	492
433	3192	485
434	3199	478
435	3206	470
436	3213	463
437	3220	455
438	3226	448
439	3233	440
440	3240	433
441	3246	426
442	3254	418
443	3261	411
444	3268	403
445	3275	396
446	3282	389
447	3289	381
448	3296	374
449	3303	367
450	3310	359
451	3317	352
452	3324	344
453	3331	337
454	3338	330
455	3345	322
456	3352	315
457	3360	308
458	3367	300
459	3374	293
460	3381	286
461	3388	278
462	3395	271
463	3402	263
464	3409	256
465	3416	249
466	3423	241
467	3430	234
468	3437	227
469	3444	219
470	3451	212
471	3458	205
472	3465	197
473	3472	190
474	3479	183
475	3485	175
476	3492	168
477	3499	161
478	3506	153
479	3514	146
480	3521	139
481	3527	131
482	3534	124
483	3541	117
484	3548	109
485	3555	102
486	3562	95
487	3569	87
488	3576	80
489	3583	73
490	3590	65
491	3597	58
492	3604	51
493	3611	43
494	3618	36
495	3625	29
496	3632	21
497	3639	14
498	3646	7
499	3653	0
